event_number,event_name,event_gender,event_distance,event_stroke,is_relay,is_diving,place,name,year,team,relay_letter,finals_time,finals_seconds,points,time_standard,is_exhibition,is_dq,is_scratch,dq_reason,splits,relay_swimmers
1,Women 200 Medley Relay,Women,200,Medley,True,False,1.0,GTCH-GA,,GTCH-GA,A,1:38.27,98.27000000000001,11.0,,False,False,False,,"[24.46, 27.95, 23.46, 22.4]","[('Rothwell, Vivien E', 'JR', 1), ('Deedy, Anne', 'SR', 2), ('Stanisavljevic, Nina', 'SO', 3), ('Hadjiloizou, Anna', 'SR', 4)]"
1,Women 200 Medley Relay,Women,200,Medley,True,False,2.0,SCAR-SC,,SCAR-SC,A,1:38.57,98.57,4.0,,False,False,False,,"[25.54, 27.4, 23.52, 22.11]","[('Grimley, Taylor O', 'SO', 1), ('Scholes, Dylan A', 'SR', 2)]"
1,Women 200 Medley Relay,Women,200,Medley,True,False,3.0,SCAR-SC,,SCAR-SC,B,1:39.33,99.33,2.0,,False,False,False,,"[25.62, 27.82, 23.7, 22.19]","[('Maholic, Megan E', 'SR', 1), ('Kudela, Caroline R', 'SR', 2), ('Chan, Samantha S', 'SO', 3), ('West, Kara', 'JR', 4)]"
1,Women 200 Medley Relay,Women,200,Medley,True,False,4.0,GTCH-GA,,GTCH-GA,B,1:39.83,99.83,,,False,False,False,,"[25.55, 28.06, 23.87, 22.35]","[('Wright, Phoebe', 'SR', 1), ('Smith, Annabel', 'FR', 2), ('Masud, Zara', 'SO', 3), ('Ferrari, Jillian D', 'JR', 4)]"
1,Women 200 Medley Relay,Women,200,Medley,True,False,5.0,SCAR-SC,,SCAR-SC,C,1:40.49,100.49000000000001,,,True,False,False,,"[25.46, 28.37, 23.74, 22.92]","[('Buehler, Katie', 'SO', 1), ('Dalton, Alexis S', 'FR', 2), ('Agliano, Jordan F', 'SR', 3), ('Eaton, Emily T', 'JR', 4)]"
2,Men 200 Medley Relay,Men,200,Medley,True,False,1.0,GTCH-GA,,GTCH-GA,A,1:25.93,85.93,11.0,,False,False,False,,"[21.71, 24.07, 20.8, 19.35]","[('Balduccini, Ricky', 'JR', 1), ('Caballero, Joao', 'SR', 2), ('Jones, Stephen R', 'SR', 3), ('Yeboah, Robin', 'JR', 4)]"
2,Men 200 Medley Relay,Men,200,Medley,True,False,2.0,SCAR-SC,,SCAR-SC,A,1:26.03,86.03,4.0,,False,False,False,,"[21.85, 23.93, 20.45, 19.8]","[('Hufford, Ryan G', 'JR', 1), ('Agustsson, Einar', None, 2), ('Usmonov, Eldor', 'GS', 3), ('Buck, Quinn O', 'SR', 4)]"
2,Men 200 Medley Relay,Men,200,Medley,True,False,3.0,GTCH-GA,,GTCH-GA,B,1:27.88,87.88,2.0,,False,False,False,,"[22.77, 24.39, 21.18, 19.54]","[('Richardson, Chris E', 'SR', 1), ('Killius, Julian', 'SR', 2), ('Johnson, Brodie', 'SO', 3), ('Sega, Vitor', 'JR', 4)]"
2,Men 200 Medley Relay,Men,200,Medley,True,False,4.0,SCAR-SC,,SCAR-SC,B,1:29.48,89.48,,,False,False,False,,"[22.55, 24.91, 22.05, 19.97]","[('Brown, Sam J', 'JR', 1), ('Freeman, Harvey', 'SR', 2), ('Hulbert, Gage M', 'SR', 3), ('Harrison, Bexon D', 'FR', 4)]"
3,Women 1000 Freestyle,Women,1000,Freestyle,False,False,1.0,"Fluck, Nora",SO,SCAR-SC,,9:44.73,584.73,9.0,,False,False,False,,"[27.55, 29.62, 29.87, 29.67, 29.71, 29.72, 29.68, 29.86, 29.55, 29.47, 29.47, 29.28, 29.41, 29.29, 29.07, 29.02, 28.77, 28.87, 28.85, 28.0]",[]
3,Women 1000 Freestyle,Women,1000,Freestyle,False,False,2.0,"Reiser, Emma",SO,SCAR-SC,,9:46.17,586.17,4.0,,False,False,False,,"[27.46, 29.67, 29.69, 29.59, 29.71, 29.72, 29.74, 29.95, 30.15, 29.86, 29.6, 29.6, 29.27, 29.21, 29.14, 29.05, 29.2, 28.95, 29.12, 27.49]",[]
3,Women 1000 Freestyle,Women,1000,Freestyle,False,False,3.0,"Daniels, Grace O",JR,SCAR-SC,,10:11.62,611.62,3.0,,False,False,False,,"[27.78, 30.1, 30.29, 30.4, 30.57, 30.6, 30.56, 30.8, 30.89, 30.77, 30.75, 30.84, 30.92, 31.09, 31.13, 31.04, 31.01, 30.99, 30.96, 30.13]",[]
3,Women 1000 Freestyle,Women,1000,Freestyle,False,False,4.0,"Ozdemir, Ela N",SO,GTCH-GA,,10:16.08,616.08,2.0,,False,False,False,,"[27.87, 30.58, 30.44, 30.94, 30.83, 30.7, 30.97, 31.15, 31.18, 30.76, 30.6, 30.62, 30.3, 30.73, 30.42, 30.93, 31.39, 31.92, 32.15, 31.6]",[]
4,Men 1000 Freestyle,Men,1000,Freestyle,False,False,1.0,"Fry, Connor C",JR,SCAR-SC,,9:03.92,543.92,9.0,,False,False,False,,"[24.33, 26.39, 27.07, 27.24, 27.18, 27.11, 27.12, 27.34, 27.27, 27.46, 27.5, 27.85, 27.42, 27.78, 27.75, 28.01, 27.28, 27.3, 27.36, 27.16]",[]
4,Men 1000 Freestyle,Men,1000,Freestyle,False,False,2.0,"Vetkoetter, Lukas",SO,GTCH-GA,,9:13.30,553.3,4.0,,False,False,False,,"[24.14, 26.48, 27.06, 27.43, 27.45, 27.71, 27.84, 28.03, 28.07, 27.97, 28.07, 28.2, 28.1, 28.28, 28.49, 28.0, 28.19, 28.3, 28.18, 27.31]",[]
4,Men 1000 Freestyle,Men,1000,Freestyle,False,False,3.0,"Turner, Ryan",SO,SCAR-SC,,9:15.56,555.56,3.0,,False,False,False,,"[25.19, 27.28, 27.78, 27.93, 28.15, 28.4, 28.34, 28.26, 28.4, 28.41, 27.91, 27.85, 27.84, 28.1, 27.96, 27.72, 27.72, 27.74, 27.34, 27.24]",[]
4,Men 1000 Freestyle,Men,1000,Freestyle,False,False,4.0,"Prosinski, Raymon P",JR,SCAR-SC,,9:17.07,557.07,2.0,,False,False,False,,"[24.67, 27.2, 27.58, 27.94, 28.13, 27.88, 28.3, 28.29, 28.44, 28.24, 28.25, 28.21, 28.34, 28.61, 28.64, 28.35, 28.04, 27.9, 27.73, 26.33]",[]
4,Men 1000 Freestyle,Men,1000,Freestyle,False,False,5.0,"Perks, Charles",SR,GTCH-GA,,9:17.18,557.18,1.0,,False,False,False,,"[25.17, 26.72, 27.71, 28.17, 28.27, 28.35, 28.37, 28.53, 28.43, 28.59, 28.35, 28.43, 28.56, 28.39, 28.26, 28.11, 27.71, 27.3, 27.35, 26.41]",[]
5,Women 200 Freestyle,Women,200,Freestyle,False,False,1.0,"Gyurinovics, Lili",SO,GTCH-GA,,1:46.48,106.47999999999999,,B,False,False,False,,"[25.01, 27.01, 27.45, 27.01]",[]
5,Women 200 Freestyle,Women,200,Freestyle,False,False,2.0,"Ottem, Ellery",JR,SCAR-SC,,1:46.61,106.61,,B,False,False,False,,"[25.19, 27.0, 27.4, 27.02]",[]
5,Women 200 Freestyle,Women,200,Freestyle,False,False,3.0,"Gormley, Breckin F",SR,SCAR-SC,,1:46.96,106.96000000000001,,B,False,False,False,,"[25.12, 26.8, 27.53, 27.51]",[]
5,Women 200 Freestyle,Women,200,Freestyle,False,False,4.0,"Wright, Phoebe",SR,GTCH-GA,,1:47.63,107.63,2.0,,False,False,False,,"[25.31, 27.14, 27.51, 27.67]",[]
5,Women 200 Freestyle,Women,200,Freestyle,False,False,5.0,"Luper, So(cid:976)ia L",FR,SCAR-SC,,1:48.02,108.02000000000001,1.0,,False,False,False,,"[25.48, 27.03, 27.67, 27.84]",[]
